device_type time pose pose-last_pose vel comanded_vel Nocap_C_vel
H 2294.495658506 48.0 0.0 -102.24864399882657 -169.88666666666668 -100
E 2294.541096794 79.0 0.0 40.718787583324705 149.9 100
H 2294.544774986 43.0 0.0 -101.79882597436286 -149.9 -100
E 2294.599784332 80.0 0.0 17.039392587924045 39.973333333333336 39.973333333333336
H 2294.603562078 38.0 0.0 -85.05268469497749 -119.92000000000002 -100
E 2294.648786684 79.0 0.0 -20.407183720628638 0 0
H 2294.652466150 35.0 0.0 -61.34458496636607 -99.93333333333334 -99.93333333333334
E 2294.697788728 78.0 0.0 -20.407311988784063 0 0
H 2294.701613206 31.0 0.0 -81.38839486126916 -89.94000000000001 -89.94000000000001
E 2294.746905782 77.0 0.0 -20.35952726321662 0 0
H 2294.750584618 28.0 0.0 -61.260230764394194 -69.95333333333333 -69.95333333333333
E 2294.805593754 76.0 0.0 -17.039266580917648 0 0
H 2294.809272338 25.0 0.0 -51.11801923822457 -49.96666666666667 -49.96666666666667
E 2294.854596022 75.0 0.0 -20.40721870257242 -69.95333333333333 -69.95333333333333
H 2294.858273794 23.0 0.0 -40.81511373862634 -49.96666666666667 -49.96666666666667
E 2294.903598290 72.0 0.0 -61.22165610771726 -169.88666666666668 -100
H 2294.907374902 21.0 0.0 -40.73227838375582 -59.96000000000001 -59.96000000000001
E 2294.952713272 67.0 0.0 -101.80193082430179 -239.84000000000003 -100
H 2294.956490962 19.0 0.0 -40.71987858964293 -69.95333333333333 -69.95333333333333
E 2295.031402980 60.0 0.0 -88.95699549404438 -269.82 -100
H 2295.034989710 16.0 0.0 -38.217170036840145 -69.95333333333333 -69.95333333333333
E 2295.080405486 55.0 0.0 -102.03559793483105 -309.79333333333335 -100
H 2295.084089992 14.0 0.0 -40.7329636111456 -59.96000000000001 -59.96000000000001
E 2295.129407572 49.0 0.0 -122.44376698525546 -369.7533333333334 -100
H 2295.133183736 11.0 0.0 -61.10758226146363 -49.96666666666667 -49.96666666666667
E 2295.179076184 43.0 0.0 -120.80063763407367 -449.70000000000005 -100
H 2295.182754292 9.0 0.0 -40.34653151748883 -49.96666666666667 -49.96666666666667
E 2295.237212556 35.0 0.0 -137.60748606786842 -489.67333333333335 -100
H 2295.240990554 6.0 0.0 -51.51429533732472 -79.94666666666667 -79.94666666666667
E 2295.286214978 28.0 0.0 -142.85008198215644 -479.68000000000006 -100
H 2295.289893730 4.0 0.0 -40.89713927757896 -99.93333333333334 -99.93333333333334
E 2295.335217204 22.0 0.0 -122.44341716210384 -449.70000000000005 -100
H 2295.338894136 3.0 0.0 -20.40799417059004 -119.92000000000002 -100
E 2295.384332228 16.0 0.0 -122.16221252380332 -429.71333333333337 -100
H 2295.388109694 3.0 0.0 0.0 -139.90666666666667 -100
E 2295.443021838 10.0 0.0 -102.2327461370571 -389.74 -100
H 2295.446701164 3.0 0.0 0.0 -169.88666666666668 -100
E 2295.492024372 6.0 0.0 -81.62843170516788 -379.74666666666667 -100
