device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value
E 1828.633038336 93.0 7.0 4.0 20 20 1775
H 1828.636486354 97.0 38.0 19.0 20 20 1774
E 1828.691727316 93.0 7.0 4.0 20 20 1775
H 1828.695179492 97.0 34.0 18.0 20 20 1775
E 1828.740729878 93.0 7.0 4.0 20 20 1775
H 1828.744055746 97.0 31.0 17.0 20 20 1775
E 1828.789873420 93.0 7.0 4.0 20 20 1775
H 1828.793199050 97.0 27.0 17.0 20 20 1775
E 1828.838849900 93.0 6.0 3.0 20 20 1775
H 1828.842319870 97.0 25.0 17.0 20 20 1775
E 1828.897538614 93.0 6.0 3.0 20 20 1776
H 1828.901010194 97.0 22.0 16.0 20 20 1775
E 1828.946662626 93.0 6.0 3.0 20 20 1776
H 1828.949990818 97.0 20.0 15.0 20 20 1775
E 1829.015544452 93.0 6.0 3.0 20 20 1775
H 1829.018906972 97.0 18.0 15.0 20 20 1776
E 1829.065210810 93.0 6.0 3.0 20 20 1775
H 1829.068445300 97.0 16.0 14.0 20 20 1776
E 1829.123491130 93.0 6.0 3.0 20 20 1776
H 1829.126814142 97.0 14.0 12.0 20 20 1776
E 1829.172352670 93.0 6.0 3.0 20 20 1775
H 1829.175824292 97.0 13.0 11.0 20 20 1776
E 1829.221479426 93.0 6.0 3.0 20 20 1776
H 1829.224807996 97.0 12.0 9.0 20 20 1776
E 1829.270473616 93.0 6.0 3.0 20 20 1775
H 1829.273921942 97.0 11.0 9.0 20 20 1776
E 1829.329162442 93.0 6.0 3.0 20 20 1775
H 1829.332611524 97.0 11.0 8.0 20 20 1776
E 1829.378162680 93.0 6.0 3.0 20 20 1776
H 1829.381488352 97.0 11.0 7.0 20 20 1776
E 1829.427311472 93.0 7.0 3.0 20 20 1777
H 1829.430638950 97.0 10.0 7.0 20 20 1777
E 1829.476285586 93.0 6.0 3.0 20 20 1776
H 1829.479756956 97.0 10.0 6.0 20 20 1777
E 1829.534973894 93.0 6.0 3.0 20 20 1777
H 1829.538445782 97.0 9.0 6.0 20 20 1777
E 1829.584100356 93.0 6.0 3.0 20 20 1776
H 1829.587428044 97.0 9.0 5.0 20 20 1774
E 1829.632977324 93.0 6.0 3.0 20 20 1773
H 1829.636428898 97.0 8.0 5.0 20 20 1768
E 1829.682092978 93.0 6.0 3.0 20 20 1764
H 1829.685420372 97.0 8.0 5.0 20 20 1762
E 1829.740928594 93.0 6.0 3.0 20 20 1761
H 1829.744256016 97.0 8.0 4.0 20 20 1761
E 1829.789787614 93.0 6.0 3.0 20 20 1761
H 1829.793258830 97.0 8.0 4.0 20 20 1761
E 1829.838915224 93.0 6.0 3.0 20 20 1763
H 1829.842241204 97.0 8.0 4.0 20 20 1763
E 1829.887909022 93.0 6.0 3.0 20 20 1763
H 1829.891359112 97.0 8.0 4.0 20 20 1761
E 1829.946597190 93.0 6.0 3.0 20 20 1762
H 1829.950047952 96.0 7.0 4.0 20 20 1761
E 1830.015600508 93.0 6.0 3.0 20 20 1760
H 1830.018837686 96.0 8.0 4.0 20 20 1760
E 1830.064747018 93.0 6.0 3.0 20 20 1755
H 1830.067984392 96.0 7.0 3.0 20 20 1751
E 1830.113719550 93.0 6.0 3.0 20 20 1750
H 1830.117190570 96.0 7.0 4.0 20 20 1753
E 1830.172408936 93.0 6.0 3.0 20 20 1750
H 1830.175878808 96.0 7.0 4.0 20 20 1752
E 1830.221535188 93.0 6.0 3.0 20 20 1752
H 1830.224862946 96.0 7.0 6.0 20 20 1750
E 1830.270413724 93.0 6.0 3.0 20 20 1753
H 1830.273862820 96.0 7.0 7.0 20 20 1753
E 1830.319532052 93.0 6.0 3.0 20 20 1756
H 1830.322859950 96.0 7.0 9.0 20 20 1759
E 1830.378364042 93.0 6.0 3.0 20 20 1760
H 1830.381691058 96.0 10.0 14.0 20 20 1763
E 1830.427223566 93.0 6.0 4.0 20 20 1765
H 1830.430693270 96.0 13.0 23.0 20 20 1764
E 1830.476353892 93.0 6.0 4.0 20 20 1764
H 1830.479679480 96.0 16.0 35.0 20 20 1763
E 1830.525344148 93.0 6.0 4.0 20 20 1762
