"device type" time pose "pose - last_pose" vel "comanded vel" "Nocap C_vel"
H 1409.426631968 22.0 0.0 -102.03632672785817 -100 -100
E 1409.471944746 43.0 0.0 -81.62889813188468 -149.9 -100
H 1409.475533156 17.0 0.0 -102.24700471501015 -100 -100
E 1409.521060232 39.0 0.0 -81.44070894443195 -159.89333333333335 -100
H 1409.524649678 13.0 0.0 -81.43899114016577 -100 -100
E 1409.579749590 34.0 0.0 -85.19432091958048 -189.87333333333333 -100
H 1409.583340254 7.0 0.0 -102.2310634676895 -100 -100
E 1409.628751970 30.0 0.0 -81.62868823914567 -209.86 -100
H 1409.632460962 4.0 0.0 -61.07403826490224 -100 -100
E 1409.677754140 26.0 0.0 -81.62903806097701 -249.83333333333334 -100
H 1409.681530710 3.0 0.0 -20.37915499384074 -100 -100
E 1409.726869794 21.0 0.0 -101.80053797071692 -319.7866666666667 -100
H 1409.730548812 3.0 0.0 0.0 -100 -100
E 1409.785559012 15.0 0.0 -102.23342897510555 -429.71333333333337 -100
H 1409.789238100 3.0 0.0 0.0 -100 -100
E 1409.834561266 10.0 0.0 -102.03612266485585 -509.66 -100
H 1409.838238212 3.0 0.0 0.0 -100 -100
E 1409.883563506 4.0 0.0 -122.44338218023951 -469.6866666666667 -100
H 1409.887242650 3.0 0.0 0.0 -100 -100
E 1409.932679286 3.0 0.0 -20.360055363076835 -419.72 -100
H 1409.936356120 4.0 0.0 20.361012976657157 -89.94000000000001 -89.94000000000001
E 1410.011368434 3.0 0.0 0.0 -369.7533333333334 -100
H 1410.014870282 3.0 0.0 -12.736555731194404 -79.94666666666667 -79.94666666666667
E 1410.060370688 4.0 0.0 20.40722453297117 -329.78000000000003 -100
H 1410.063959840 3.0 0.0 0.0 -59.96000000000001 -59.96000000000001
E 1410.109373012 4.0 0.0 0.0 -259.8266666666667 -100
H 1410.112962598 4.0 0.0 20.407014641945942 -39.973333333333336 -39.973333333333336
E 1410.158488666 4.0 0.0 0.0 -129.91333333333336 -100
H 1410.162078812 3.0 0.0 -20.359875457859236 -39.973333333333336 -39.973333333333336
E 1410.217178010 4.0 0.0 0.0 0 0
H 1410.220856202 3.0 0.0 0.0 -69.95333333333333 -69.95333333333333
E 1410.266180152 4.0 0.0 0.0 0 0
H 1410.269902626 4.0 0.0 20.38884628982366 -79.94666666666667 -79.94666666666667
E 1410.315182392 5.0 0.0 20.40723036337325 29.980000000000004 29.980000000000004
H 1410.318772580 4.0 0.0 0.0 -79.94666666666667 -79.94666666666667
E 1410.364297906 7.0 0.0 40.72033125822444 199.86666666666667 100
H 1410.367885742 4.0 0.0 0.0 -99.93333333333334 -99.93333333333334
