,time,psi_gyro_E,filtered_gyro_z_E,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,del_psi_gyro_E,del_gyro_z_deg_E,psi_gyro_H,filtered_gyro_z_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,del_psi_gyro_H,del_gyro_z_deg_H
1114,496.094943212,-8.652149832420655,-19.615137051622224,52.0,10.0,50,25,-0.10974284821097413,0.5853410825629588,-11.504460239554732,-65.67366243257061,45.0,81.0,50,25,-0.4425313131148343,0.9492417093901082
1115,496.143945676,-8.751060167617357,-18.95357992359403,77.0,10.0,50,25,-0.09891033519670245,0.6615571280281927,-11.939483126815782,-64.72329474851772,44.0,100.0,50,25,-0.43502288726105043,0.9503676840528925
1116,496.19294786,-8.84127390607022,-18.249063690656357,100.0,11.0,50,25,-0.09021373845286362,0.7045162329376744,-12.366997588223642,-63.77190819805301,46.0,100.0,50,25,-0.42751446140785987,0.9513865504647043
1117,496.242064648,-8.926709757985218,-17.553389010635502,100.0,11.0,50,25,-0.08543585191499758,0.6956746800208542,-12.787003623778007,-62.819599700765,47.0,100.0,50,25,-0.42000603555436555,0.9523084972880085
1118,496.300752774,-9.01028992624691,-16.901295544639378,100.0,10.0,50,25,-0.08358016826169212,0.6520934659961242,-13.199501233478761,-61.8664569567722,45.0,100.0,50,25,-0.412497609700754,0.9531427439928066
1119,496.34975493,-9.092014410854834,-16.288637633085088,89.0,9.0,50,25,-0.08172448460792303,0.6126579115542903,-13.604490417325433,-60.91255932372872,42.0,97.0,50,25,-0.4049891838466717,0.953897633043475
1120,496.398757198,-9.171883211809714,-15.711663971932671,76.0,9.0,50,25,-0.07986880095488047,0.576973661152417,-14.001971175318765,-59.95797861039603,39.0,86.0,50,25,-0.39748075799333193,0.9545807133326889
1121,496.447873496,-9.249896329110998,-15.16698009964749,65.0,8.0,50,25,-0.07801311730128369,0.5446838722851801,-14.391943507458418,-59.00277979473384,37.0,77.0,50,25,-0.3899723321396529,0.9551988156621931
1122,496.506562322,-9.326053762758857,-14.651514452582877,53.0,8.0,50,25,-0.07615743364785921,0.5154656470646142,-14.774407413744626,-58.047021673676156,36.0,68.0,50,25,-0.3824639062862083,0.9557581210576842
1123,496.555564366,-9.40035551275331,-14.162487649344902,46.0,7.0,50,25,-0.07430174999445249,0.48902680323797476,-15.149362894177711,-57.0907574511075,36.0,62.0,50,25,-0.37495548043308524,0.956264222568656
1124,496.60456648,-9.472801579094362,-13.697384696977306,39.0,7.0,50,25,-0.07244606634105288,0.46510295236759625,-15.516809948757242,-56.13403526989294,41.0,58.0,50,25,-0.36744705457953053,0.956722181214559
1125,496.653682834,-9.543391961782122,-13.253929841032217,34.0,7.0,50,25,-0.07059038268775986,0.44345485594508816,-15.876748577482841,-55.17689869331358,56.0,58.0,50,25,-0.35993862872559923,0.9571365765793587
1126,496.712371604,-9.612126660816484,-12.83006380802686,28.0,6.0,50,25,-0.06873469903436202,0.42386603300535697,-16.229178780355248,-54.21938714069612,83.0,63.0,50,25,-0.3524302028724069,0.9575115526174613
1127,496.761373732,-9.67900567619743,-12.423923212707761,24.0,6.0,50,25,-0.06687901538094643,0.4061405953190995,-16.57410055737397,-53.26153628160785,100.0,64.0,50,25,-0.3449217770187225,0.9578508590882677
1128,496.810376182,-9.744029007925104,-12.033821924198344,21.0,6.0,50,25,-0.06502333172767294,0.39010128850941683,-16.911513908539344,-52.30337839254815,100.0,61.0,50,25,-0.33741335116537385,0.9581578890597058
1129,496.85949241,-9.807196655999288,-11.658234204689382,18.0,6.0,50,25,-0.06316764807418451,0.3755877195089621,-17.24141883385137,-51.34494267972017,100.0,59.0,50,25,-0.3299049253120252,0.9584357128279777
1130,496.918180816,-9.868508620420329,-11.295779452062606,15.0,5.0,50,25,-0.0613119644210407,0.3624547526267765,-17.563815333309275,-50.38625557108788,100.0,56.0,50,25,-0.3223964994579056,0.9586871086322901
1131,496.967183252,-9.927964901187694,-10.9452083938677,13.0,5.0,50,25,-0.059456280767365755,0.3505710581949053,-17.878703406913395,-49.42734098065879,100.0,55.0,50,25,-0.31488807360411997,0.9589145904290888
1132,497.036185576,-9.9855654983016,-10.605390594599411,12.0,5.0,50,25,-0.05760059711390575,0.3398177992682889,-18.186083054664596,-48.468220547619694,100.0,54.0,50,25,-0.3073796477512012,0.9591204330390966
